Designator,Mid X,Mid Y,Rotation,Layer
SW3,88.923139,-97.976355,-40.0,top
SW1,69.629943,-89.152417,-35.0,top
SW11,148.0,-98.054131,40.0,top
SW14,167.380799,-89.215585,35.0,top
SW4,98.862815,-114.132969,-40.0,top
SW19,133.5,-60.75,0.0,top
SW12,63.75,-60.75,0.0,top
SW13,157.63,-75.29,35.0,top
SW15,74.75,-60.75,0.0,top
SW7,127.194586,-101.247964,40.0,top
SW8,138.113382,-114.282835,40.0,top
SW5,85.75,-60.75,0.0,top
SW9,96.75,-60.75,0.0,top
SW2,99.850529,-84.953599,-40.0,top
SW10,137.072611,-85.031376,40.0,top
SW16,144.5,-60.75,0.0,top
SW18,190.881232,-88.147783,30.0,top
SW17,182.381233,-73.425351,30.0,top
